title,source,date,datetime,desc,link
"Bitcoin may set a new all-time high in 2020, Michael Novogratz says",CNBC,"Feb 14, 2020",2020-02-14,"Bitcoin's liquidity-driven rally is likely to continue throughout 2020, Michael Novogratz told CNBC on Friday. The cryptocurrency investor said large amounts of ...",https://www.cnbc.com/2020/02/14/michael-novogratz-explains-why-bitcoin-may-set-all-time-highs-in-2020.html
Top 5 Potentially Profitable Cryptocurrencies in 2020: Investment Advice,Yahoo Finance,"Feb 3, 2020",2020-02-03,"The most popular cryptocurrencies – Ethereum, Bitcoin and Ripple – have a high liquidity rate. Trading activity on exchanges indicates the number of transactions ...",https://finance.yahoo.com/news/top-5-potentially-profitable-cryptocurrencies-100627541.html
"Bitcoin Smashes Through $10,000 As Bull Run Suddenly Accelerates—Here’s Why",Forbes,"Feb 8, 2020",2020-02-08,"The sudden jump in the bitcoin price comes as bitcoin traders and investors are gearing up for the looming May bitcoin halving event, which will see the number of ...",https://www.forbes.com/sites/billybambrough/2020/02/08/bitcoin-smashes-through-10000-as-bull-run-suddenly-acceleratesheres-why/
Ohio man arrested for running Bitcoin mixing service that laundered $300 million,ZDNet,"Feb 14, 2020",2020-02-14,"Helix functioned as a Bitcoin mixer (Bitcoin tumbler), a type of service that takes funds from a user, split the sum into small parts, and using thousands of ...",https://www.zdnet.com/article/ohio-man-arrested-for-running-bitcoin-mixing-service-that-laundered-300-million/
Bitcoin Drove Half of Square's Cash App Revenue in the 4th Quarter - CoinDesk,CoinDesk,"Feb 26, 2020",2020-02-26,"It reported bitcoin revenue of $178 million between Oct. 1 and Dec. 31, with gross profits of $3 million, up 50 percent over the prior two quarters. Non-bitcoin ...",https://www.coindesk.com/bitcoin-drove-half-of-squares-cash-app-revenue-in-the-4th-quarter
If Billionaire Investor Warren Buffett Ever Buys Bitcoin You Should Probably Sell,Forbes,"Feb 26, 2020",2020-02-26,"This week, Buffett, 89, who built his fortune and career betting on well-performing stocks, promised he would ""never"" own bitcoin or any other cryptocurrency as ...",https://www.forbes.com/sites/billybambrough/2020/02/26/if-billionaire-investor-warren-buffett-ever-buys-bitcoin-you-should-probably-sell/
Drug dealer loses $60 million in Bitcoin when landlord unwittingly tosses codes,New York Post,"Feb 22, 2020",2020-02-22,"An Irish drug dealer learned the hard way what every bitcoin investor knows: never lose your codes. Clifton Collins, a former security guard and a beekeeper ...",https://nypost.com/2020/02/22/drug-dealer-loses-60-million-in-bitcoin-when-landlord-unwittingly-tosses-codes/
Visa Grants Coinbase Power To Issue Bitcoin Debit Cards,Forbes,"Feb 19, 2020",2020-02-19,"It's never been an instant, ""Oh, I'll buy this cup of coffee with bitcoin,"" says Zeeshan Feroz, CEO of Coinbase UK, which received the membership. “What the card is ...",https://www.forbes.com/sites/michaeldelcastillo/2020/02/19/visa-grants-coinbase-power-to-issue-bitcoin-debit-cards/
"Warren Buffett is 'completely wrong and outdated' on bitcoin, Chamath Palihapitiya says",CNBC,"Feb 26, 2020",2020-02-26,"He's long been a critic of bitcoin and has described the digital currency as ""rat poison squared,"" a ""mirage,"" and ""not a currency."" Although Palihapitiya disagrees ...",https://www.cnbc.com/2020/02/26/palihapitiya-warren-buffett-is-completely-wrong-outdated-on-bitcoin.html
No Bitcoin ETF Yet: A Deep Dive Into the Situation in the US,Cointelegraph,"Feb 22, 2020",2020-02-22,"Over the past several years, many entities have submitted proposals for regulated Bitcoin (BTC) exchange-traded funds, or ETFs in the United States. So far, the ...",https://cointelegraph.com/news/no-bitcoin-etf-yet-a-deep-dive-into-the-situation-in-the-us
"Bitcoin, Tesla Stock, Tron: How Warren Buffett Got His First ...",Bitcoin News,"Feb 7, 2020",2020-02-07,"Billionaire investor Warren Buffett received his first bitcoin and several other cryptocurrencies during a dinner with five cryptocurrency advocates, led by Justin ...",https://news.bitcoin.com/bitcoin-tesla-stock-warren-buffett/
Crypto asset manager sees bitcoin mining shift from China to North America,Reuters,"Feb 11, 2020",2020-02-11,LONDON (Reuters) - The world's biggest cryptocurrency asset manager said on Tuesday it was seeing efforts to shift bitcoin production to North America from ...,https://www.reuters.com/article/us-crypto-currencies-idUSKBN2052FW
What Caused Bitcoin Price to Surge Past $10K Over the Weekend?,Cointelegraph,"Feb 9, 2020",2020-02-09,"The sentiment around the recent Bitcoin rally remains divided amongst investors. Joe007, for instance, one of the biggest whales in the cryptocurrency market, ...",https://cointelegraph.com/news/what-caused-bitcoin-price-to-surge-past-10k-over-the-weekend
7 Explosive Cryptocurrencies to Buy for the Bitcoin Halvening,,"Feb 21, 2020",2020-02-21,"The number of bitcoins unlocked for mining one block will fall from 12.5 bitcoins, to 6.25 bitcoins. Because of this halving, bitcoin's supply is expected to rise by just ...",https://www.nasdaq.com/articles/7-explosive-cryptocurrencies-to-buy-for-the-bitcoin-halvening-2020-02-21
Jack Dorsey-Backed Lightning Labs Raises $10 Million To Build Visa Network For Bitcoin,Forbes,"Feb 5, 2020",2020-02-05,Bitcoin payments startup Lightning Labs has raised $10 million to expand its payments network that lets companies and individuals spend bitcoin as easily as ...,https://www.forbes.com/sites/michaeldelcastillo/2020/02/05/jack-dorsey-backed-lightning-labs-raises-10-million-to-build-visa-network-for-bitcoin/
Jack Dorsey Enables Bitcoin Emoji on Twitter Posts,Yahoo Finance,"Feb 3, 2020",2020-02-03,"Unicode has supported the bitcoin symbol as one of its currency signs since 2017. But there is currently no emoji version, meaning the symbol only appears as a ...",https://finance.yahoo.com/news/jack-dorsey-enables-bitcoin-emoji-104914375.html
Bitcoin’s Guardian Angel; The 50 Biggest Companies In Blockchain,Forbes,"Feb 23, 2020",2020-02-23,"BITCOIN'S GUARDIAN ANGEL. While global crypto markets are still in large part unregulated and under-secured, Coinbase CEO Brian Armstrong is on a mission ...",https://www.forbes.com/sites/cryptoconfidential/2020/02/23/bitcoins-guardian-angel-the-50-biggest-companies-in-blockchain/
Is bitcoin's 2020 rally another flash in the pan?,Reuters,"Feb 13, 2020",2020-02-13,LONDON (Reuters) - Crypto analysts are split on whether bitcoin's rise this year is driven by unique factors or is just its latest bout of volatility. But many agree on ...,https://www.reuters.com/article/us-crypto-currencies-analysis-idUSKBN2071RU
Man gets year in prison after $200K Bitcoin scam in Montana,,"Feb 6, 2020",2020-02-06,Thomas solicited funds from two Missoula men he met over LinkedIn in 2018 for investments into Bitcoin and issued them a quick return to obtain more ...,https://apnews.com/article/bitcoin-mt-state-wire-money-laundering-business-sentencing-44c28a2d748a68355428d8e611e43045
Drug dealer loses $58M in bitcoin after landlord accidentally throws codes out,CNET,"Feb 23, 2020",2020-02-23,"Bitcoin is currently worth over $9,700. Dan Kitwood/Getty. Between 2011 and 2012, Clifton Collins bought 6,000 bitcoin using money he earned from growing ...",https://www.cnet.com/news/drug-dealer-loses-58m-in-bitcoin-after-landlord-accidentally-throws-codes-out/
Layer1 Opens its First Bitcoin Mining Factory; Brings Multiple ...,,"Feb 19, 2020",2020-02-19,"""Our factory in West Texas is a game changer in Bitcoin mining. The facility uses custom ASIC chips and patent-pending liquid cooling technology, that enables us ...",https://www.prnewswire.com/news-releases/layer1-opens-its-first-bitcoin-mining-factory-brings-multiple-megawatt-containers-online-in-texas-301007614.html
"Bitcoin Ready to Explode, According to This Key Metric",CCN.com,"Feb 17, 2020",2020-02-17,"Google Trends data reveal that “bitcoin halving” is trending. Some believe that bitcoin will soar after the halving generates media hype. Bitcoin, bitcoin halving.",https://www.ccn.com/bitcoin-ready-to-soar-according-to-google-trends-data/
"Bitcoin.com, Danal Japan and ALLEX Partner up to Offer BCH ...",Bitcoin News,"Feb 7, 2020",2020-02-07,Bitcoin.com and ALLEX partner are going to expand settlement with Bitcoin Cash (BCH). Allex's security token exchange “ALLEX” is used for payment conversion ...,https://news.bitcoin.com/bitcoin-com-danal-japan-and-allex-partner-up-to-offer-bch-payment-services/
Ex-Microsoft engineer guilty of stealing over $10M with Bitcoin ...,CoinGeek,"Feb 27, 2020",2020-02-27,"Bitcoin founder Dr. Craig S. Wright said that rather than true anonymity, digital currency offered privacy—but criminal activity could still be investigated through ...",https://coingeek.com/ex-microsoft-engineer-guilty-of-stealing-over-10m-with-bitcoin-mixer-help/
SEC Rejects Latest Bitcoin ETF Bid - CoinDesk,CoinDesk,"Feb 26, 2020",2020-02-26,The U.S. Securities and Exchange Commission (SEC) rejected Wilshire Phoenix's bid for a bitcoin-based exchange-traded fund (ETF). In a filing posted ...,https://www.coindesk.com/sec-rejects-latest-bitcoin-etf-bid
Blow To Bitcoin As ‘Significant’ U.S. Crypto Crackdown Suddenly Revealed,Forbes,"Feb 16, 2020",2020-02-16,"This week, Treasury secretary Steven Mnuchin warned ""significant"" new bitcoin and cryptocurrency regulations are on their way, Minneapolis Federal Reserve ...",https://www.forbes.com/sites/billybambrough/2020/02/16/blow-to-bitcoin-as-significant-us-crackdown-suddenly-revealed/
Mike Bloomberg's 2020 Finance Policy Proposes Strict Bitcoin ...,Bitcoin News,"Feb 18, 2020",2020-02-18,"“For all the promise of the blockchain, bitcoin, and initial coin offerings, there's also plenty of hype, fraud and criminal activity.” Mike Bloomberg's 2020 Finance ...",https://news.bitcoin.com/mike-bloomberg-strict-bitcoin-regulations/
ETH Co-Founder Vitalik Buterin: “Bitcoin Cash Is Not Bitcoin”,Cointelegraph,"Feb 1, 2020",2020-02-01,"“Bitcoin Cash is not Bitcoin,” Buterin said in a Feb 1 tweet responding to Brad Mills' accusation of Buterin as Bitcoin Cash promoter. Several tweets exist that might ...",https://cointelegraph.com/news/eth-co-founder-vitalik-buterin-bitcoin-cash-is-not-bitcoin
US Government Auctioning off Bitcoins Worth $37 Million in 2 ...,Bitcoin News,"Feb 4, 2020",2020-02-04,"According to the announcement by the U.S. Marshals Service (USMS) which is holding the auction, approximately 4,040.54069820 bitcoins will be for sale. The ...",https://news.bitcoin.com/government-bitcoins/
Bitcoin Lender BlockFi Raises $30M in Series B Led by Peter Thiel's Valar Ventures - CoinDesk,CoinDesk,"Feb 13, 2020",2020-02-13,"BlockFi has been providing fiat loans with bitcoin (BTC) and ether (ETH) collateral since the beginning of last year. In March, it launched a service offering clients ...",https://www.coindesk.com/bitcoin-lender-blockfi-raises-30m-in-series-b-led-by-peter-thiels-valar-ventures
Ohio man accused of laundering $311 million in bitcoins through ‘Google of the dark net’,The Enquirer,"Feb 13, 2020",2020-02-13,"A Bath, Ohio, resident with a bitcoin-focused business in downtown Akron was secretly indicted by a federal grand jury in Washington, D.C., in December for ...",https://www.cincinnati.com/story/news/2020/02/13/bitcoin-larry-dean-harmon-indicted-cryptocurrency-money-laundering-scheme/4746978002/
Blockchain Pioneer Caitlin Long to Build Crypto Bank in Wyoming - CoinDesk,CoinDesk,"Feb 24, 2020",2020-02-24,"Avanti is partnering with bitcoin and blockchain technology startup Blockstream, which will provide bitcoin applications, as well as the software and hardware ...",https://www.coindesk.com/blockchain-pioneer-caitlin-long-to-build-crypto-bank-in-wyoming
Boerse Stuttgart Lists the First Short Bitcoin (SBTC) Tracking ...,,"Feb 25, 2020",2020-02-25,"Stuttgart, 25 February 2020 – A new exchange-traded product (ETPs) that tracks the inverse value of Bitcoin BTC is now available for trading on the Boerse ...",https://www.globenewswire.com/news-release/2020/02/25/1989693/0/en/Boerse-Stuttgart-Lists-the-First-Short-Bitcoin-SBTC-Tracking-Exchange-Traded-Product-from-21Shares.html
"$12 to $12K: The $100,000 Bitcoin Halving Is Just 100 Days Away",Cointelegraph,"Feb 1, 2020",2020-02-01,"A retrospective by Weiss Ratings suggests Bitcoin price by the time of the May 2020 halving will be more like $12,000 than $12 during its 2012 event.",https://cointelegraph.com/news/12-to-12k-the-100-000-bitcoin-halving-is-just-100-days-away
Billionaire Tim Draper admits to moving stock portfolio to Bitcoin,Coin Rivet,"Feb 25, 2020",2020-02-25,"Tim Draper has revealed the reason why he switched his stock market holdings towards Bitcoin by claiming that it will be the ""currency of choice"" ...",https://coinrivet.com/billionaire-tim-draper-admits-to-moving-stock-portfolio-to-bitcoin/
Bitmain Unveils 2 Bitcoin Miners With Max Speeds Up to ...,Bitcoin News,"Feb 27, 2020",2020-02-27,... that have affected numerous Chinese bitcoin mining rig manufacturers. The website shows a picture of the two S19 Antminers and offers specifications as well.,https://news.bitcoin.com/bitmain-bitcoin-miners-max-speeds/
CoinGeek The next Genesis: Bitcoin's two beginnings,CoinGeek,"Feb 4, 2020",2020-02-04,"In Bitcoin Satoshi Vision, the “Genesis” protocol upgrade is Bitcoin's “Second Adam,” which is likely why the name was given to the penultimate release of the BSV ...",https://coingeek.com/the-next-genesis-bitcoins-two-beginnings/
Ripple CEO Criticizes Bitcoin for Being too Dominated by China,BeInCrypto,"Feb 18, 2020",2020-02-18,"In recent comments made live on the New York Stock Exchange, Ripple CEO Brad Garlinghouse told the reporter that “China controls the Bitcoin blockchain.” ...",https://beincrypto.com/ripple-ceo-criticizes-bitcoin-for-being-too-dominated-by-china/
Irish Court Seizes $56 Million in Bitcoin From Alleged Drug Dealer,Cointelegraph,"Feb 19, 2020",2020-02-19,An alleged drug dealer lost over $56 million in Bitcoin after the Irish High Court ruled that they were criminal proceeds and should be confiscated. 5926 Total ...,https://cointelegraph.com/news/irish-court-seizes-56-million-in-bitcoin-from-alleged-drug-dealer
BCH Merchant Directories Now List 4300 Bitcoin Cash ...,Bitcoin News,"Feb 9, 2020",2020-02-09,"4,392 Bitcoin Cash Accepting Merchants. For over two and a half years, BCH proponents have been relentlessly promoting merchant adoption throughout the ...",https://news.bitcoin.com/bch-merchant-4300-bitcoin-cash/
Bitcoin Halving 2020: What does it mean?,CoinGeek,"Feb 28, 2020",2020-02-28,"The logic goes that, since the Bitcoin mining block reward halves every four years or so, the price will rise to compensate. While the two previous halvenings (or “ ...",https://coingeek.com/bitcoin-halving-2020-what-does-it-mean/
'A Drop-in Replacement for ABC' - BCH Devs Release Bitcoin ...,Bitcoin News,"Feb 28, 2020",2020-02-28,"On February 27, a group of developers behind the Bitcoin Cash Node implementation released the first version of the project's codebase. The new client is ...",https://news.bitcoin.com/bch-devs-bitcoin-cash-node/
Roger Ver: Prison Made Me a Bitcoin Believer,Cointelegraph,"Feb 27, 2020",2020-02-27,"Roger Ver in a Cointelegraph exclusive bears it all - from how his prison experience made him a Bitcoin believer to why BCH will appreciate 1,000 times.",https://cointelegraph.com/news/roger-ver-prison-made-a-bitcoin-believer
Bitcoin Cash Faces ‘Slow Death’ After Alleged $30M Hack — Commentator,Cointelegraph,"Feb 22, 2020",2020-02-22,"Bitcoin Cash Faces 'Slow Death' After Alleged $30M Hack — Commentator. A SIM card attack reportedly sees a total of $45 million stolen, while the consequences ...",https://cointelegraph.com/news/bitcoin-cash-faces-slow-death-after-alleged-30m-hack-commentator
Bitcoin SV Rumored to be Listing on Coinbase,BeInCrypto,"Feb 11, 2020",2020-02-11,"Rumors have been circulating on Twitter that Coinbase may soon be adding Bitcoin Satoshi's Vision (BSV). As of now, the exchange has not made a comment.",https://beincrypto.com/bitcoin-sv-rumored-to-be-listing-on-coinbase/
40 Banks in Germany Declare Intent to Offer Crypto Services ...,Bitcoin News,"Feb 10, 2020",2020-02-10,"Bitcoin.com reached out to the regulator for some more information. The law, which went into effect early this year, enables banks to offer crypto services after ...",https://news.bitcoin.com/banks-germany-crypto/
BitPay Enables Merchant Payments From Any Bitcoin Wallet,,"Feb 4, 2020",2020-02-04,"04, 2020 (GLOBE NEWSWIRE) -- BitPay, the world's largest provider of Bitcoin and cryptocurrency payment services, in a move applauded by merchants, ...",https://www.globenewswire.com/news-release/2020/02/04/1979573/0/en/BitPay-Enables-Merchant-Payments-From-Any-Bitcoin-Wallet.html
"As Bitcoin Fails To Break Out, This Minor Cryptocurrency Has Surged By 400%",Forbes,"Feb 3, 2020",2020-02-03,The tezos price has outperformed bitcoin and most other cryptocurrencies over the last 12-months. Coinbase. Tezos' XTZ tokens began trading in late 2017 at the ...,https://www.forbes.com/sites/billybambrough/2020/02/03/as-bitcoin-fails-to-breakout-this-minor-cryptocurrency-has-surged-by-400/
Mode unveils bitcoin buying app – Finextra,,"Feb 4, 2020",2020-02-04,"London-based fintech firm Mode, advised and backed by Twitter co-founder Biz Stone, has launched its Bitcoin banking mobile iOS app. This will make Bitcoin - ...",https://www.finextra.com/pressarticle/81355/mode-unveils-bitcoin-buying-app
‘This is not cool’: Elon Musk attacks Twitter over impersonators scamming bitcoin from followers,The Independent,"Feb 3, 2020",2020-02-03,"... to impersonate him and trick people into sending them cryptocurrencies like bitcoin and ethereum. Scams typically involve fake accounts holding ""giveaways"", ...",https://www.independent.co.uk/life-style/gadgets-and-tech/news/elon-musk-twitter-scam-bots-cryptocurrency-bitcoin-a9314356.html
BitPay and Poynt Take Bitcoin to the Streets - GlobeNewswire,,"Feb 11, 2020",2020-02-11,"Processor of more than a billion dollars in Bitcoin and cryptocurrency e-commerce annually, the deal gains BitPay entry to in-store payments for the first time on a ...",https://www.globenewswire.com/news-release/2020/02/11/1983160/0/en/BitPay-and-Poynt-Take-Bitcoin-to-the-Streets.html
Australian exchanges change their tune on Bitcoin SV,CoinGeek,"Feb 7, 2020",2020-02-07,Australian exchanges have not been favourable towards Bitcoin SV (BSV) and have resorted in taking political stances whilst running their exchange business.,https://coingeek.com/australian-exchanges-change-their-tune-on-bitcoin-sv/
"Craig Wright Doubles Down on Satoshi Claim, Says Bitcoin Core Infringes His 'Database Rights' - CoinDesk",CoinDesk,"Feb 17, 2020",2020-02-17,"However, Bitcoin Core (the group that maintains and develops bitcoin) and Bitcoin ABC (the team behind bitcoin cash [BCH]) “have sought to use my database ...",https://www.coindesk.com/craig-wright-doubles-down-on-satoshi-claim-says-bitcoin-core-infringes-his-database-rights
"Bitpay Enables Bitcoin Cash Payments at 100,000 Point-of ...",Bitcoin News,"Feb 12, 2020",2020-02-12,"“With just the scan of a QR code at checkout, consumers can now pay merchants using Poynt's devices with the currency of their choice, including bitcoin, bitcoin ...",https://news.bitcoin.com/bitpay-poynt-payments-crypto-partnership/
Shark Tank's Robert Herjavec Says Bitcoin’s Price Will ‘Quantuple’ Long-Term,Cointelegraph,"Feb 27, 2020",2020-02-27,"Shark Tank co-host Robert Herjavec sees long-term potential for Bitcoin, saying the asset is currently worth a fraction of its future value. 16354 Total views.",https://cointelegraph.com/news/shark-tanks-robert-herjavec-says-bitcoins-price-will-quantuple-long-term
Open Positions in Bakkt's Bitcoin Futures Jump to Record Highs - CoinDesk,CoinDesk,"Feb 6, 2020",2020-02-06,"While bitcoin hit fresh three-month highs on Wednesday, open interest in monthly bitcoin futures on the Intercontinental Exchange's (ICE) Bakkt platform jumped ...",https://www.coindesk.com/open-positions-in-bakkts-bitcoin-futures-jump-to-record-highs
Bitcoin cash price analysis: Correction could reach $250.00,Capital.com,"Feb 18, 2020",2020-02-18,Bitcoin Cash technical analysis shows that the cryptocurrency could fall towards the $250.00 if sellers trigger a large head-and-shoulders pattern. The daily time ...,https://capital.com/bitcoin-cash-price-analysis-february-w3
Crypto Briefing Bakkt's Bitcoin Payment App on Horizon ...,Crypto Briefing,"Feb 6, 2020",2020-02-06,"Bakkt is planning to purchase Bridge2 Solutions, a customer loyalty and rewards service, as part of its plans to offer a Bitcoin and cryptocurrency-powered ...",https://cryptobriefing.com/bakkts-bitcoin-payment-horizon-buyout/
Crypto Exchange FCoin Insolvent After Revealing Up to $130M Bitcoin Shortfall - CoinDesk,CoinDesk,"Feb 17, 2020",2020-02-17,"For instance, for every transaction fee a user paid to FCoin in the form of either bitcoin or ethereum, the platform would reimburse the user 100 percent of the ...",https://www.coindesk.com/crypto-exchange-fcoin-insolvent-after-revealing-up-to-130m-bitcoin-shortfall
Binance CEO Changpeng Zhao: Bitcoin SV Founder Craig Wright ‘Is a Fraud’,Cointelegraph,"Feb 24, 2020",2020-02-24,Binance CEO Changpeng Zhao: Bitcoin SV Founder Craig Wright 'Is a Fraud'. CEO and co-founder of major crypto exchange Binance Changpeng Zhao explicitly ...,https://cointelegraph.com/news/binance-ceo-changpeng-zhao-bitcoin-sv-founder-craig-wright-is-a-fraud
The Potential and the Reality of Bitcoin Charity,Bitcoin Magazine,"Feb 11, 2020",2020-02-11,"Bitcoin charities like BitGive recognize that blockchain technology can make charitable giving more efficient, while improving lives around the world. Author: ...",https://bitcoinmagazine.com/culture/the-potential-and-the-reality-of-bitcoin-charity
"Chinese Quarantine Cash to Stop Coronavirus, Not an Issue With Bitcoin",Cointelegraph,"Feb 16, 2020",2020-02-16,"Meanwhile, the crypto community began to pick up on the news commenting that the use of Bitcoin as a means of payment should fix the issue. More confirmed ...",https://cointelegraph.com/news/chinese-quarantines-cash-to-stop-coronavirus-not-an-issue-with-bitcoin
Clueless pundits don't understand Bitcoin,CoinGeek,"Feb 3, 2020",2020-02-03,"Bitcoin's 700,000 transactions per day is evidence of “price manipulation” and “fake activity,” according to two observers from the blockchain world. Let's take a ...",https://coingeek.com/clueless-pundits-dont-understand-bitcoin/
China Shuts Bitcoin Mining Farms Following Coronavirus Epidemic,Finance Magnates,"Feb 7, 2020",2020-02-07,"As the Coronavirus epidemic is getting worse, Chinese authorities are shutting down Bitcoin mining farms to contain the spread. Jiang Zhuoer, the operator of ...",https://www.financemagnates.com/cryptocurrency/news/china-shuts-bitcoin-mining-farms-following-coronavirus-epidemic/
Defi Market Surpasses $1 Billion – But There's a Catch ...,Bitcoin News,"Feb 7, 2020",2020-02-07,"The crypto collateralized stablecoin network is to defi what bitcoin is to the crypto market, its shadow looming large over proceedings. Many of the decentralized ...",https://news.bitcoin.com/defi-market-surpasses-1-billion-but-theres-a-catch/
"Jimmy Wales: I'm not against Bitcoin, but it's not useful to ...",CoinGeek,"Feb 21, 2020",2020-02-21,"Wikipedia founder Jimmy Wales said he's not ideologically opposed to Bitcoin, but doesn't see any compelling reasons to use it right now. Joining Dr. Craig ...",https://coingeek.com/jimmy-wales-im-not-against-bitcoin-but-its-not-useful-to-wikipedia-right-now-video/
Bitcoin IRA™ Reports 11.6% Average Net Return For Self ...,PR Newswire,"Feb 6, 2020",2020-02-06,The coin breakdown on investor returns (purchases made anytime in January 2020):. 11.9% average investor return for Bitcoin (BTC); 10.0% average investor ...,https://www.prnewswire.com/news-releases/bitcoin-ira-reports-11-6-average-net-return-for-self-directed-investors-in-the-first-month-of-2020--300999997.html
New Report Finds North Korean Mining of XMR Increased ...,Bitcoin News,"Feb 13, 2020",2020-02-13,"While North Korea has previously been reported to be involved in the mining, stealing, or generating of bitcoin, litecoin, and monero, Insikt emphasizes:.",https://news.bitcoin.com/north-korea-xmr-mining/
Finnish Authorities Have $15M in Seized Bitcoin but Don’t Want to Sell It - CoinDesk,CoinDesk,"Feb 26, 2020",2020-02-26,Finland's customs agency has been struggling with what to do with a horde of bitcoin (BTC) it fears could end up back in the hands of criminals if sold off. Finnish ...,https://www.coindesk.com/finnish-authorities-have-15m-in-seized-bitcoin-but-dont-want-to-sell-it
Bitcoin SV (BSV) Network Completes Historic Genesis Hard Fork,,"Feb 4, 2020",2020-02-04,"Along Bitcoin's journey, protocol developers on the BTC chain deviated from Satoshi Nakamoto's original design and restricted many technical capabilities of ...",https://www.prnewswire.com/news-releases/bitcoin-sv-bsv-network-completes-historic-genesis-hard-fork-300999062.html
Bitcoin's Future as Real Currency Like Dollar Relies on Inflation,Bloomberg.com,"Feb 21, 2020",2020-02-21,"The Key to Bitcoin's Future: Inflation. If the cryptocurrency is going to be used as widely as dollars, its fans must abandon the dream of deflationary digital gold. By.",https://www.bloomberg.com/opinion/articles/2020-02-21/bitcoin-s-future-as-real-currency-like-dollar-relies-on-inflation
"Tesla’s Epic Rally Echoes Past Oil, Bitcoin Bubbles",Wall Street Journal,"Feb 4, 2020",2020-02-04,"and other tech stocks of the dot-com era; oil in 2008 and bitcoin in 2017. “I'm not saying this is the top,” said Peter Cecchini, ...",https://www.wsj.com/articles/teslas-epic-rally-echoes-past-oil-bitcoin-bubbles-11580853363
"After breaking above $10,000, bitcoin euphoria fades",Al Jazeera,"Feb 10, 2020",2020-02-10,"The world's most popular cryptocurrency has also struggled after having crossed the $10,000 threshold previously. On Sunday, bitcoin surged above the ...",https://www.aljazeera.com/economy/2020/2/10/after-breaking-above-10000-bitcoin-euphoria-fades
